"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.09.2022","277,16","272,58","277,58","266,15","54,29M","0,56%"
"02.09.2022","270,21","281,07","282,35","269,08","50,89M","-2,51%"
"06.09.2022","274,42","272,67","275,99","265,74","55,86M","1,56%"
"07.09.2022","283,70","273,10","283,84","272,27","50,03M","3,38%"
"08.09.2022","289,26","281,30","289,50","279,76","53,71M","1,96%"
"09.09.2022","299,68","291,67","299,85","291,24","54,47M","3,60%"
"12.09.2022","304,42","300,72","305,49","300,40","48,68M","1,58%"
"13.09.2022","292,13","292,90","297,40","290,40","68,23M","-4,04%"
"14.09.2022","302,61","292,24","306,00","291,64","72,63M","3,59%"
"15.09.2022","303,75","301,83","309,12","300,72","64,80M","0,38%"
"16.09.2022","303,35","299,61","303,71","295,60","87,09M","-0,13%"
"19.09.2022","309,07","300,09","309,84","297,80","60,23M","1,89%"
"20.09.2022","308,73","306,91","313,33","305,58","61,64M","-0,11%"
"21.09.2022","300,80","308,29","313,80","300,63","62,56M","-2,57%"
"22.09.2022","288,59","299,86","301,29","285,82","70,55M","-4,06%"
"23.09.2022","275,33","283,09","284,50","272,82","63,75M","-4,59%"
"26.09.2022","276,01","271,83","284,09","270,31","58,08M","0,25%"
"27.09.2022","282,94","283,84","288,67","277,51","61,93M","2,51%"
"28.09.2022","287,81","283,08","289,00","277,57","54,67M","1,72%"
"29.09.2022","268,21","282,76","283,65","265,78","77,62M","-6,81%"
"30.09.2022","265,25","266,14","275,57","262,47","67,73M","-1,10%"
